wl,M,MP,MT,MPT,nu
409.2158508300781,2.2702267743624045,3.704089019489973,3.262641278847584,3.927079524514407,732602262087069.4
409.801513671875,2.247572083095052,3.6702488507004762,3.220333364421132,3.9072904724707276,731555272487454.9
410.3871154785156,2.213035764319812,3.631586490042719,3.17946245199911,3.8692218772495375,730511379847875.8
410.97271728515625,2.1878723082276332,3.608419122583602,3.1476135294092513,3.840342680560334,729470462127993.1
411.5582580566406,2.1578655375399447,3.5661785985052292,3.1199708803805977,3.8062334733010053,728432614657293.8
412.1437377929688,2.1366115512878654,3.5368723967099847,3.0919115336731426,3.7792185420940565,727397823888795.9
412.7292175292969,2.10468915387713,3.501104155091902,3.058038950176402,3.747668828998876,726365968938750.4
413.3146667480469,2.086357292598384,3.470360975076836,3.0386052267378805,3.726308871326121,725337090887101.1
413.9000549316406,2.0637580592792535,3.451562368350754,3.014214043172511,3.6983564895719163,724311230278801.1
414.48541259765625,2.041200770234437,3.431250092935869,2.9889023990724297,3.680682681425832,723288320621817.8
415.07073974609375,2.0103840575893943,3.4069588482865876,2.9696023422728524,3.6532612636026682,722268349205700.2
415.6560363769531,1.995280546788261,3.3896972938106282,2.950882804492588,3.637057699667794,721251303392890.1
416.24127197265625,1.9735232500511775,3.366933263584083,2.930184072764894,3.621553997623247,720237223423855.9
416.8265075683594,1.9511401408944502,3.348521711734935,2.9061598684590004,3.614567580507621,719225991045768.9
417.4116821289063,1.9235731354544006,3.324102169031823,2.8856480837020846,3.581070931817597,718217699301039.6
417.996826171875,1.9064872849835468,3.311088974014649,2.869864189931642,3.560702876085457,717212283034726.0
418.5819396972656,1.8771585492910408,3.28275567027831,2.8414143128262435,3.5303788518122827,716209729967856.0
419.1669921875,1.8536857293335243,3.2488240518320204,2.8210853953555817,3.511401662489247,715210079962350.9
419.75201416015625,1.8308060625788016,3.2301556182804587,2.8044934258042944,3.4917180079175054,714213268517192.2
420.3370361328125,1.812671521479231,3.2050615567293064,2.78371218162855,3.4718822002763843,713219231781602.0
420.9219970703125,1.7879188125412222,3.179944297958409,2.762746689309263,3.4537482975334077,712228061461756.9
421.50689697265625,1.776077632825723,3.160391035286522,2.745681290885526,3.438333232017861,711239745193179.9
422.091796875,1.7621331177609691,3.141713268640475,2.7275272643598676,3.4188602969139215,710254167978492.5
422.6766357421875,1.746562619946392,3.1337451599627824,2.708856337781386,3.414617509079896,709271420866657.6
423.2614440917969,1.7210465631278016,3.105499400137151,2.6905894565201818,3.397781349113483,708291440632568.0
423.8462219238281,1.7065078810122911,3.0968913435287524,2.6796940901233834,3.395737006654913,707314215611617.4
424.4309692382813,1.6849268095385035,3.083603150192218,2.6675578372405546,3.3850908546046874,706339734204674.5
425.01568603515625,1.667248132244345,3.0597394130331197,2.650647787932779,3.370711091798217,705367984877626.1
425.600341796875,1.6499335839845881,3.0481687738988503,2.6361695390325823,3.35747786909821,704399006669691.6
426.1849670410156,1.6303914754368063,3.0350320797063084,2.61907509314524,3.3426763528553995,703432737389698.4
426.7695617675781,1.6077021739628679,3.0185991057194537,2.607502841212252,3.3329611180061227,702469165697597.8
427.3541259765625,1.5898911310789687,3.0034956609480834,2.6013250118472038,3.3251515025025102,701508280316548.5
427.9386596679688,1.5761663203864564,2.9891612633722837,2.5965392984499793,3.3151227822897806,700550070032477.2
428.5231323242188,1.5661312275709172,2.9842208107940436,2.5835538524754176,3.3136729231371165,699594573515761.2
429.1075744628906,1.5482938467169234,2.9772070379788635,2.5720762191539293,3.297724409664353,698641729583186.8
429.6919860839844,1.5359447642249437,2.9710171118433704,2.561000003142769,3.2928634712463922,697691527208061.0
430.2763671875,1.5175491353752852,2.9691057404543524,2.545916475493936,3.2904005314994937,696743955424724.8
430.8606872558594,1.5039772660104822,2.9742381027709985,2.5322592088029516,3.2940414582069137,695799052611112.9
431.4450073242188,1.4907787578747553,2.9857398601838616,2.524462546546823,3.2910940335640015,694856709223000.4
432.0292663574219,1.4810266846315774,2.9915820176492547,2.5079291185217025,3.295537928437963,693917012908979.4
432.6134948730469,1.464758651827472,3.009787350047901,2.4936692816664587,3.3031698592232996,692979903661988.0
433.1976623535156,1.4500321536270506,3.0254759727187968,2.4735581289473463,3.3201372533460383,692045419569580.0
433.7818298339844,1.4344139316074462,3.0518883216195656,2.4641646328057436,3.3322533580094706,691113452388578.9
434.3659362792969,1.4244973578836218,3.0860266279210813,2.452438122347533,3.356965110152311,690184088945763.2
434.9500122070313,1.4134255518131895,3.126867817143388,2.44303800364499,3.386853950969201,689257269999344.5
435.5340576171875,1.399559936631387,3.182877188264165,2.438807295393509,3.4228872360028064,688332985117555.2
436.1180725097656,1.3853085794391091,3.241251025319443,2.427550093355982,3.461292267851079,687411223925573.4
436.7020263671875,1.374084269343756,3.3150757229180083,2.421843090132011,3.5234523148985133,686492024078515.9
437.2859802246094,1.3570842292203595,3.412358949445666,2.415397158482412,3.5716824520049797,685575279239488.4
437.869873046875,1.3460258260854616,3.5141628115333434,2.406670124856167,3.6371686315111513,684661075021954.1
438.4537048339844,1.3350570993056825,3.635945282553102,2.39920577704738,3.700035208117649,683749400894019.2
439.03753662109375,1.3284410823478543,3.7620810142283436,2.3930533127074187,3.7852700450354195,682840151453228.4
439.6213073730469,1.31937796701483,3.8801169946457708,2.3869732012551137,3.86178685166776,681933411716113.4
440.205078125,1.3072007417833964,4.0072108180589545,2.3794916727622386,3.933914745219573,681029076895090.6
440.7887573242188,1.3011638202431635,4.117714108208455,2.3701603753151956,4.006345342377161,680127278698921.0
