wl,M,MP,MT,MPT
172.20639038085938,0.9275539315840071,0.18102603084856153,0.21427510421520402,0.10337546714555726
172.80535888671875,0.9196857177974812,0.1917838598891407,0.22857918102341404,0.10110090448969554
173.40428161621094,0.9311467450507539,0.193478405631597,0.2463786583311963,0.09963201631973875
174.00318908691406,0.9084175856704383,0.1821438510693507,0.24174477890495755,0.09982366310047473
174.60206604003906,0.9056303187779924,0.17188174497505085,0.23419697803592338,0.10763993296631709
175.20089721679688,0.8778508559963311,0.184573601502089,0.24582210373058694,0.11242691700829675
175.79971313476562,0.8757530066068421,0.18498958240764682,0.24952758615769613,0.11286076738063613
176.39849853515625,0.8658262756381219,0.18543756789806223,0.24193174377824606,0.10008579705435885
176.9972381591797,0.873006412086454,0.18985782607867546,0.24701164236704495,0.11119435884429871
177.59596252441406,0.8434844705363921,0.18796085336927282,0.24501537489934455,0.1161921846875392
178.1946563720703,0.8461358613032458,0.18198638849698398,0.22107753863989182,0.11827364412115916
178.79331970214844,0.8382469326450959,0.18180917046897374,0.20939252841822223,0.10964014411539307
179.39193725585938,0.8389269153906571,0.18093271254664806,0.20947583925852714,0.10771770113838461
179.99053955078125,0.8377273924512936,0.19867188865802127,0.20724030513135436,0.10455114088398376
180.589111328125,0.8513484336802181,0.19410234620219977,0.20041540701556593,0.09660958446607487
181.18765258789062,0.8558268789258259,0.1885820078654292,0.19584035263085395,0.09637925222879415
181.78614807128906,0.8762391690644253,0.17751902245933115,0.19546103483846944,0.10401955667023693
182.38462829589844,0.8685006460396419,0.16786635167239208,0.1882298566638789,0.0935592437306569
182.9830780029297,0.885989548899428,0.16690972509030766,0.184357643418803,0.0849826357330636
183.5814971923828,0.8612202232649062,0.1699518377770951,0.19010692016563568,0.07734089676269162
184.17987060546875,0.8661547466654443,0.17870488493268413,0.19442027026402856,0.10893267366485032
184.77822875976562,0.8793977207345453,0.17948096395519222,0.18633336347894983,0.10505864724527104
185.37655639648438,0.8906044387107122,0.17381790094343547,0.19715350087471292,0.09992471690367727
185.97483825683594,0.8615376363307625,0.16837869097919153,0.17960394184162556,0.08937837143946144
186.57310485839844,0.8554880584323189,0.1858578206348424,0.18504644010385224,0.08624797310911943
187.1713409423828,0.8529031510811103,0.21235416107781888,0.19578897546974938,0.09037722544041787
187.76954650878906,0.8641671418790111,0.22231291898837732,0.2124856427458192,0.10133751151619974
188.36770629882812,0.8616316759437449,0.22811220752237563,0.21853233775052178,0.09139667186244958
188.96585083007812,0.8863803579494445,0.23378510453795023,0.22301790119819156,0.08078822984897067
189.56396484375,0.8517099691937314,0.22976844019828532,0.21208200704163513,0.04774476649724201
190.1620330810547,0.8633102941016537,0.2282270712289204,0.2079606674029181,0.05925359251050926
190.7600860595703,0.8463641469793599,0.21472690063371952,0.19984775926138737,0.050450701526756535
191.3581085205078,0.86612037245436,0.22174984847560872,0.22320692207360163,0.06448848003945304
191.95608520507812,0.8518306998311951,0.19169351625893483,0.20515086422302806,0.057518448124375746
192.55404663085938,0.8533042037356974,0.19047703760376028,0.19705909862070642,0.0463895027672041
193.15196228027344,0.8241592906261819,0.173348316994864,0.17313768740643717,0.026679775487328937
193.74986267089844,0.8241894860205095,0.15571885375049643,0.15888302093508197,0.031053857409709392
194.3477325439453,0.8116920381261824,0.14867514039855345,0.1618802934612998,0.04563674724362709
194.945556640625,0.8436787483229338,0.1516925798566621,0.17412780243447923,0.07540587214056742
195.54336547851562,0.8285280325152425,0.1747765981134617,0.1941999621238273,0.07946382879731163
196.14112854003906,0.8233867648130258,0.18392371859215997,0.20100353873976018,0.08697747484875219
196.73887634277344,0.822379937801054,0.16808940910100126,0.17888854228835777,0.06589186942203867
197.33657836914062,0.8363807047153315,0.17550076900091305,0.1869371604326272,0.06856702063558644
197.9342498779297,0.8201778305308908,0.16990061554194621,0.20247110171159036,0.0773950398643475
198.5319061279297,0.8343733757282478,0.17944295049246117,0.21257166891979393,0.09806706617007467
199.1295166015625,0.8181894610981163,0.19403335915946301,0.21413538636445378,0.10158761841674471
199.7270965576172,0.8249121782300929,0.18358794074149068,0.2149520121354641,0.09921252487579418
200.3246612548828,0.7857368948803498,0.15420193429390205,0.19153767270363545,0.06158058847554278
200.92218017578125,0.7822851138537152,0.13556176120782,0.17960636635394672,0.05680317003032398
201.51966857910156,0.7737880960866231,0.13498576705907098,0.17657168844836565,0.05973343132940854
202.11712646484375,0.7853142927503236,0.14500106479769245,0.19898854154791834,0.08173653022463237
202.71456909179688,0.7673628751857743,0.1522420455058061,0.19024102128734988,0.06879521964073324
203.3119659423828,0.770606849528931,0.1462823103288324,0.17712741762971604,0.07285631081425305
203.90933227539062,0.7534856713325796,0.13276640961403346,0.18051024549264383,0.048831536718514285
204.5066680908203,0.7466987611046165,0.1293581260199491,0.1782513824558707,0.0569049102645243
205.10397338867188,0.7149817906628843,0.13698171454668412,0.17725701262316082,0.06113623398789083
205.7012481689453,0.7162703755519311,0.15854504545450776,0.1891329921959154,0.08469698764214631
206.29849243164062,0.689402442111774,0.16185944118785975,0.18798392489984253,0.0822448085217794
206.8957061767578,0.6827281264783412,0.16154236143598197,0.18317025121184183,0.07972747716526181
207.49288940429688,0.6410870555625208,0.1523920839595822,0.17294408174681244,0.07676692954693165
208.0900421142578,0.6292367689961198,0.14980651947880763,0.18662348488321284,0.08506463464004656
208.68714904785156,0.5860942878136709,0.14296614532459823,0.17236256250311896,0.07007750737667374
209.28424072265625,0.5645358851523528,0.13566937328060447,0.16271803505321844,0.08260493686570641
